Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,Q1,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,Q27_1,Q29_1,Q29_2,Q29_3,SelectedStim_1,SelectedStim_2,SelectedStim_3,SelectedStim_4,SelectedStim_11,SelectedStim_12,SelectedStim_13,SelectedStim_14,SelectedStim_21,SelectedStim_22,SelectedStim_23,SelectedStim_24,UnselectedStim_1,UnselectedStim_2,UnselectedStim_3,UnselectedStim_4,UnselectedStim_11,UnselectedStim_12,UnselectedStim_13,UnselectedStim_14,UnselectedStim_21,UnselectedStim_22,UnselectedStim_23,UnselectedStim_24,CorrectStim_1,CorrectStim_2,CorrectStim_3,CorrectStim_4,CorrectStim_11,CorrectStim_12,CorrectStim_13,CorrectStim_14,CorrectStim_21,CorrectStim_22,CorrectStim_23,CorrectStim_24,IsCorrect_1,IsCorrect_2,IsCorrect_3,IsCorrect_4,IsCorrect_11,IsCorrect_12,IsCorrect_13,IsCorrect_14,IsCorrect_21,IsCorrect_22,IsCorrect_23,IsCorrect_24,IncorrectStim_1,IncorrectStim_2,IncorrectStim_3,IncorrectStim_4,IncorrectStim_11,IncorrectStim_12,IncorrectStim_13,IncorrectStim_14,IncorrectStim_21,IncorrectStim_22,IncorrectStim_23,IncorrectStim_24,ClipA,ClipB,TrueChoice,ParticipantChoice
100,923,TRUE,R_7LhbP5B9OKxX8ch,EN,I consent,A,B,A,A,B,A,A,A,B,B,A,B,Extremely familiar (I know most or all welll),0,0,0,1,2,3,4,11,12,13,23,23,22,23,24,2,14,22,2,13,1,2,14,21,1,3,23,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,0,0,1,1,1,2,14,22,2,13,1,2,23,23,1,3,23,13,11,B,B
100,790,TRUE,R_1P7rtFQRmV7sYPi,EN,I consent,B,A,A,B,B,B,A,A,A,A,A,A,Very familiar (I recognize many),10,10,2,1,2,3,4,11,12,13,14,21,22,23,24,12,22,4,1,24,14,21,3,4,1,24,2,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,1,12,22,4,1,24,14,21,3,4,1,24,2,24,11,B,B
100,510,TRUE,R_6lYPCfk8HQCO7ux,EN,I consent,A,A,B,A,B,B,A,A,B,B,B,A,Extremely familiar (I know most or all welll),10,8,6,1,2,3,13,11,12,24,14,21,22,23,3,4,23,1,4,4,23,13,1,3,3,12,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,0,1,1,0,1,1,1,1,0,4,23,1,13,4,23,24,1,3,3,12,3,14,1,A,A
100,346,TRUE,R_3COM7SPlnz6PuAC,EN,I consent,A,B,B,A,B,A,B,A,A,A,B,A,Extremely familiar (I know most or all welll),2,2,0,1,24,3,4,11,12,12,14,21,22,24,24,21,2,14,2,21,4,13,13,4,21,23,14,1,2,3,4,11,12,13,14,21,22,23,24,1,0,1,1,1,1,0,1,1,1,0,1,21,24,14,2,21,4,12,13,4,21,24,14,22,21,A,A
100,283,TRUE,R_5Crztdqb7GH9eLB,EN,I consent,B,A,B,B,A,A,A,A,B,B,A,A,Very familiar (I recognize many),10,10,8,1,2,3,4,11,12,4,14,21,22,23,4,3,11,22,23,23,1,13,13,1,24,12,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,1,0,3,11,22,23,23,1,4,13,1,24,12,4,2,11,A,A
100,397,TRUE,R_7Op0FsAcdSxC585,EN,I consent,A,A,B,B,A,B,A,B,A,B,B,B,Extremely familiar (I know most or all welll),10,10,10,1,2,3,4,11,12,13,14,21,22,23,13,22,24,21,2,24,3,23,1,3,2,11,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,1,1,1,1,1,0,22,24,21,2,24,3,23,1,3,2,11,13,11,23,B,B
100,576,TRUE,R_7HkmF9fp2J1LnGa,EN,I consent,B,B,A,B,B,A,B,A,B,A,A,A,Very familiar (I recognize many),0,0,1,1,2,3,4,11,1,11,14,21,22,23,24,21,22,14,21,14,12,13,12,1,1,2,3,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,0,1,1,1,1,1,21,22,14,21,14,1,11,12,1,1,2,3,14,11,B,B
100,294,TRUE,R_79GB0cY95HXZngJ,EN,I consent,B,A,B,A,B,B,B,B,B,A,A,B,Extremely familiar (I know most or all welll),0,0,0,1,2,3,4,11,24,13,14,21,22,23,24,12,24,11,2,21,12,24,3,23,1,13,1,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,0,1,1,1,1,1,1,12,24,11,2,21,24,24,3,23,1,13,1,21,11,B,B
100,941,TRUE,R_6GcGqzvVM89VkCx,EN,I consent,A,B,B,B,B,A,A,A,A,B,A,A,Extremely familiar (I know most or all welll),4,2,2,1,2,3,4,11,12,22,14,21,22,22,24,14,13,14,22,23,1,13,12,13,2,23,11,1,2,3,4,11,12,13,14,21,22,23,24,1,1,1,1,1,1,0,1,1,1,0,1,14,13,14,22,23,1,22,12,13,2,22,11,24,11,A,A
100,1774,TRUE,R_5PhQ6cNC1TaHdJ2,EN,I consent,A,A,B,A,A,B,A,A,A,A,B,A,Moderately familiar (I recognize some),9,9,0,1,2,4,4,11,11,1,14,21,22,23,21,4,13,3,22,14,12,13,1,2,4,22,24,1,2,3,4,11,12,13,14,21,22,23,24,1,1,0,1,1,0,0,1,1,1,1,0,4,13,4,22,14,11,1,1,2,4,22,21,1,4,A,A
